@relation 'train_Egokituta-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToString-C1-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.unsupervised.instance.RemovePercentage-P30.0-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute etiqueta {DESC,ENTY,ABBR,HUM,NUM,LOC}
@attribute text string

@data
LOC,'What city did the Mormons establish as their headquarters in 1847 '
DESC,'How can I get some free technical information on Electric Vehicle '
DESC,'What is Srpska Krajina '
ENTY,'Name an American made motorcycle '
HUM,'Who was The Pride of the Yankees '
ENTY,'What is the celtic symbol for  life  '
DESC,'What do you do when your mouse is nt working as fast as it s supposed to '
LOC,'What state is John F Kennedy buried in '
HUM,'Who were the five Marx brothers '
HUM,'What Asian leader was known as The Little Brown Saint '
DESC,'What is DB Cooper known for '
ENTY,'What is a fear of money '
HUM,'What 2th-century fictional character attends Pencey Prep School '
DESC,'What is Olestra '
HUM,'Who came up with the name '
DESC,'What is dextropropoxyphen napsylate '
NUM,'When did the Berlin Wall go up '
NUM,'How many questions are on this thing '
HUM,'What famous singing cowboy owns the California Angels baseball team '
DESC,'What is the history of Valentine s Day cards '
DESC,'What is the definition of  chancery  file in real estate '
ENTY,'What kind of mammal is a colt '
DESC,'What according to the Kinsey Institute '
DESC,'How can you prevent it '
NUM,'How many acres in a mile '
DESC,'What qualifications are there for individuals donating blood '
ENTY,'What type of betting is used in horse racing '
HUM,'Who s won the most Oscars for costume design '
LOC,'What country does Ileana Cotrubas come from '
NUM,'When was the Battle of Hastings '
DESC,'What causes pneumonia '
LOC,'Where do the adventures of  The Swiss Family Robinson  take place '
LOC,'What country has the most coastline '
HUM,'Who says '
HUM,'Who invented the fountain '
DESC,'What is the difference between terry cloth and French terry '
ENTY,'What are the diseases that can be cured by black cumin '
ENTY,'What household facility contains a float ball '
NUM,'What is the salary of a US Representative '
NUM,'How many horses are there on a polo team '
DESC,'What are snowballs to a hot-rodder '
DESC,'What was the Long March in China '
ENTY,'What is the name of the disease that actress Hunter Tylo s baby girl has '
DESC,'What have you not let a tennis ball do if you volley '
HUM,'Who is the Pope '
DESC,'How can I trace my family roots '
HUM,'Who are the top ten richest people in the world '
HUM,'Who is Colin Powell '
ENTY,'What was the alternate to VHS '
LOC,'What North American city boasts the biggest Polish population '
LOC,'Where are the Austerlitz and Victor Hugo subway stops '
NUM,'The film  Jaws  was made in what year '
LOC,'What US state comes last in an alphabetical list '
HUM,'What company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product '
ABBR,'What does NN O  mean when used as a prefix in Irish surnames '
HUM,'What future deer hunter portrayed Annie Hall s neurotic brother '
NUM,'How many people die of tuberculosis yearly '
DESC,'Why was Curious George curious '
ENTY,'What was the name of the US s first manned space program '
DESC,'What are Maid-Rites '
DESC,'What causes the redness in your cheeks when you blush '
NUM,'How far can a man travel in outer space '
LOC,'What country has the highest per capita consumption of cheese '
NUM,'What does each of the utilities cost in Monopoly '
HUM,'Who portrayed Fatman in the television show '
ENTY,'What blood sport features a movement called a veronica '
HUM,'Who is Langston Hughes '
HUM,'What Cherokee Indian gave his name to a tree '
ENTY,'What is the chemical composition of a Barbie '
LOC,'What was the only country in the Western Hemisphere to join the Russian-led boycott of the 1984 Summer Olympics '
DESC,'What is infomatics '
NUM,'What is the average cost for four years of medical school '
ENTY,'Name Li l Abner s favorite Indian drink '
ENTY,'What Erica Jong novel deals with Isadora Wing s fear '
ENTY,'What holidays or observances are celebrated in Italy '
NUM,'How many people did Randy Steven Craft murder '
HUM,'Who was Gerald Ford s vice president '
NUM,'How many years of schooling after highschool does it take to become a neurosurgeon '
HUM,'Who produces Spumante '
ENTY,'What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths '
ENTY,'What product does  Mrs Olsen  promote '
LOC,'What country in 1998 had the most suicides regardless of population size '
NUM,'When was the bar-code invented '
NUM,'How far is London UK from California '
LOC,'In which state are the Mark Twain National Forests '
NUM,'How many home runs did Lou Gehrig have during his career '
ENTY,'What color is an Arctic fox in winter '
NUM,'How many of them are in sub-Saharan Africa '
LOC,'Where did Dylan Thomas die '
NUM,'What was the target rate for M3 growth in 1992 '
DESC,'What does the word camaro mean '
LOC,'What is the fastest growing state in the USA in 1998 '
ABBR,'What is the abbreviated expression for the National Bureau of Investigation '
HUM,'Who wrote the poem that starts  I love your lips when they re wet with wine and red with a warm desire  '
HUM,'What author did photographer Yousuf Karsh call  the shiest man I ever met  '
HUM,'What multitalented Academy-award-winning director failed a college course in motion-picture production '
DESC,'What is  Last Chance for Animals  '
NUM,'What percentage of the body is muscle '
DESC,'Why do we ask for the  check  and not the bill at a restaurant '
ENTY,'What are the 7 principles of learning from the Institute for Research on Learning '
NUM,'When were camcorders introduced in Malaysia '
DESC,'How do you clean an LCD monitor screen '
NUM,'How many real fruit juices are there in a can of Hawaiian Punch '
ENTY,'What film did Lee Marvin win the 1965 best actor Oscar for '
HUM,'Who was the Russian ambassador to Hungary during the 1956 uprising '
NUM,'What is the protection rate of using condoms '
HUM,'What company named one of its pens  The Banana  '
NUM,'When was the Brandenburg Gate in Berlin built '
ENTY,'What musical instrument did Sherlock Holmes play '
DESC,'How do I register a trade name in North Carolina '
DESC,'What is a gandy dancer '
ENTY,'What product did William Horlick discover and produce '
ENTY,'Which is the best opening move in chess '
HUM,'What part did Benjamin Franklin play in the development of the newspaper in America '
DESC,'What are the requirements for becoming a citizen of Australia '
ENTY,'What invention does the principle of conservation of energy make impossible '
ENTY,'What famous events have happened on March 27 '
HUM,'Who did Sonny Liston succeed as world heavyweight boxing champion '
ENTY,'What is damage to business and government caused by bureaucracy '
HUM,'Which Japanese car maker had its biggest percentage of sale in the domestic market '
DESC,'What is the  coppertop  battery '
LOC,'What s the most common street name in America '
HUM,'What TV talk-show host lends his name to a line of men s clothing '
HUM,'What President hit the jogging paths to enhance his athletic image and '
ENTY,'What does the Statue of Liberty wear on her feet '
DESC,'How do I contact answerscom '
ENTY,'What are the ingredients of Coca-Cola '
ENTY,'What song did Patti Page set people dancing to in 1950 '
HUM,'Who replies  I know  to Princess Leia s confession  I love you  in The Empire Strikes Back '
HUM,'What are the names of Jack s original roommates on Three s Company '
DESC,'Why do you say  God bless you  when people sneeze '
HUM,'What s the supreme policy-making bureau of the Soviet Communist Party '
NUM,'How many verses are in the Bible '
HUM,'What college did Dikembe Mutombo play basketball for '
HUM,'Who was Lacan '
HUM,'Who won the Battle of Gettysburg '
NUM,'How many shillings more than 2 were there in a guinea '
HUM,'What relative of Leo Tolstoy translated War and Peace eight times '
ENTY,'What does a dipsomaniac crave '
LOC,'What constellation is known as The Water Bearer '
HUM,'Who lives at 24 Sussex Drive '
HUM,'What crooner joined The Andrews Sisters for Pistol Packin Mama '
DESC,'What are the limits to  self-defense  '
HUM,'What Batman character tools around on a Batcycle '
NUM,'About how many soldiers died in World War II '
ENTY,'What are the names of the different toes '
LOC,'What part of Britain comprises the Highlands '
HUM,'Who is the Greek God of the Sea '
DESC,'How can I get started in writing for television '
DESC,'What is deadrise '
LOC,'What state is known as the Hawkeye State '
ENTY,'What was the first Lifesaver flavor '
HUM,'Who created the monster in Mary Shelley s novel Frankenstein '
HUM,'Whom does Uncle Duke s girl friend '
DESC,'Why is the universe flat '
ENTY,'What book is the follow-up to Future Shock '
NUM,'How many miles of veins are in the circulatory system '
LOC,'What country did King Gustav V reign over from 197 to 195 '
DESC,'What is office automation '
ENTY,'What animal migrates the farthest '
NUM,'How many inches over six feet is the Venus de Milo '
HUM,'What contemptible scoundrel stole the cork from my lunch '
DESC,'What is the meaning of caliente '
HUM,'Which US President is buried in Washington '
LOC,'What city does McCarren Airport serve '
DESC,'What is color '
ENTY,'What is a fear of everything '
ENTY,'How do you say  eat the day  in Latin '
HUM,'The major league baseball team in Pittsburgh is called what '
DESC,'What causes headaches '
ENTY,'What s the official language of Algeria '
LOC,'Where can I find scientific data '
LOC,'What was known as the Spice Island '
ENTY,'What are the signs of a country going into a recession '
LOC,'What s the most powerful country in the world '
DESC,'What is a pig in a poke '
DESC,'How can I find a list of celebrities  real names '
LOC,'What country was Sir Edmund Hillary born in '
NUM,'In what year did Ireland elect its first woman president '
NUM,'When did CNN begin broadcasting '
NUM,'How far away is the moon '
HUM,'What actor and World War II airman had a $5 '
DESC,'How can I get my product licensed by the NBA '
NUM,'How many web servers are there '
DESC,'What does storm wave mean in Japanese '
HUM,'Who was the inventor of silly putty '
LOC,'What is the name of the planet that the Ewoks live on '
DESC,'How do I tie a tie '
ABBR,'What is the abbreviation for Original Equipment Manufacturer '
ENTY,'What is a fear of black people '
DESC,'What is the definition of low island '
DESC,'What is a Chinese  spouting  bowl '
HUM,'What Argentine boxer was shot dead outside a Nevada brothel in May '
HUM,'Who is Prince Naseem Hamed '
HUM,'Who is the prophet of the religion of Islam '
NUM,'How many dots make up the symbol for  because  '
HUM,'What baseball player was known as Charley Hustle '
HUM,'Who led the Normans to victory in the Battle of Hastings '
HUM,'Who wrote The Collector '
HUM,'What radio '
HUM,'Who said :  What contemptible scoundrel stole the cork from my lunch  '
DESC,'What is lung cancer '
ENTY,'What soft drink would provide me with the biggest intake of caffeine '
NUM,'How much iron is in your body '
ENTY,'What are the first six words of Dickens s A Tale of Two Cities '
DESC,'What were the causes of the Civil War '
HUM,'Who turned all he touched to gold '
DESC,'How has TV affected our society '
LOC,'What is the name of the planet that the Ewoks live on '
ENTY,'Jude Law was in what movie '
DESC,'What are  inkhorn terms  '
NUM,'What is the recomended age to switch a child from a crib to a bed '
HUM,'What British prime minister and US president were seventh cousins once-removed '
NUM,'When is Dick Clark s birthday '
ENTY,'Which thrilled taste buds first - Snickers or 3 Musketeers '
LOC,'Where can I get cotton textiles importer details '
ENTY,'What film canine is buried in Pere-Lachaise cemetery in Paris '
DESC,'What are the Poconos '
HUM,'Who was with Patricia Hearst the night she was kidnaped '
NUM,'How much does one ton of cement cost '
NUM,'How many oceans are there and name them '
NUM,'How tall was the animated Frankenstein'
DESC,'What is a meerkat '
ENTY,'What book did Aaron Hass write '
NUM,'When was Beethoven born '
LOC,'What river runs through Colorado '
HUM,'Whose funeral train traveled from Washington DC to Springfield '
LOC,'What country was the setting of You Only Live Twice '
LOC,'Where is Romania located '
NUM,'What was Joe Namath s first contract worth '
ENTY,'What Shakespearean play featured Shylock '
NUM,'When was the first stained glass window made '
ENTY,'Stuart Hamblen is considered to be the first singing cowboy of which medium '
HUM,'What does Larry King do for a living '
ENTY,'What are the chemicals used in glowsticks '
DESC,'What does the name  Anthony  mean '
HUM,'Name one of the major gods of Hinduism '
ENTY,'What was spawned the term  MiG Alley  '
ENTY,'What 1966 boob tube bomb took astronauts back to prehistoric times '
DESC,'What is the origin of US Army sergeant s stripes '
HUM,'What one of the Backstreet Boys are single '
DESC,'What does Esa-Pekka Salonen look like '
ENTY,'What hair color can I use to just cover a little gray '
HUM,'What stereo manufacturer is  Slightly ahead of its time  '
HUM,'Who advised listeners to  see the USA in your Chevrolet  '
NUM,'When did President Kennedy '
NUM,'How high is the city of Denver '
DESC,'What does the word affiant mean '
NUM,'How old was Stevie Wonder when he signed with Motown Records '
HUM,'Who is the nebbish that is Marvel s official mascot '
ENTY,'What is one of the languages spoken by the Sioux called '
HUM,'What hockey team did Wayne Gretzky play for '
HUM,'Who released the Internet worm in the late 1980s '
HUM,'What company sells the most greeting cards '
DESC,'What is the difference between a generator and an alternator '
ENTY,'What commodity s shortage was the largest single factor in keeping North American cars off the roads during World War II '
ENTY,'What events happened January 26 '
ENTY,'What did the Congress of Vienna establish '
DESC,'How do you handle a hungry man '
NUM,'The Iraqis launched their attack on Kuwait on what day '
HUM,'Who invented the game bowling '
HUM,'Who sued the Dannon yougurt company for using a character named Ron Raider for promotion '
NUM,'What seven digits follow the area code in the number for long distance information '
HUM,'Who created Maudie Frickett '
ENTY,'What is the best-selling television soundtrack of all time '
HUM,'What President had never held an elected office until he was elected to the White House '
DESC,'How do you dunk '
ENTY,'What s another word that means  knows all  '
LOC,'What two cities usually mark the extremes of English Channel swims '
LOC,'What country did the Allies invade in World War II s Operation Avalanche '
NUM,'How many fiddlers did Old King Cole have '
NUM,'How many tiles did the Space Shuttle Columbia lose on its second flight '
HUM,'Who is Luke Skywalker s father '
LOC,'What continent s name appears on the upper left corner of a Budweiser label '
HUM,'What mayor made so many TV appearances he was asked to join AFTRA in 1984 '
DESC,'How did names come about '
NUM,'How long does it take to travel from Tokyo to Niigata '
ENTY,'What are dinosaur droppings called '
ENTY,'What did Walter Huston remove to perform in the movie The Treasure of the Sierra Madre '
ENTY,'What is the name of the vaccine for chicken pox '
NUM,'About how many Americans are still unaccounted for from the Vietnam war '
LOC,'What bay divides Maryland s Eastern and Western Shores '
ENTY,'What Lewis Carroll book introduced Humpty Dumpty to the world '
DESC,'What is the origin of  Beauty is in the eye of the beholder  '
NUM,'When did communist control end in Hungary '
NUM,'How many elephants are left on earth '
ENTY,'What 1915 film was the first to gross $5 million '
DESC,'How do you use  farther  as opposed to  further  '
NUM,'How many South American countries have the letter Z in their names '
LOC,'What eastern state sprouted the first commercial nuclear power plant in the US '
NUM,'How many times has Harold Stassen announced a drive for the White House '
ENTY,'What are all the different types of pizza '
DESC,'What is Occam s Razor '
DESC,'What was Suzy Parker doing to earn $1 '
HUM,'Which of the following did not receive a 1983  Outstanding Mother Award  from the National Mother s Day Committee '
NUM,'What age is Benny Carter '
ENTY,'What was the killer whale who died at Sea World of a fungal infection named '
HUM,'Who killed Lee Harvey Oswald '
ENTY,'What is a fear of hell '
DESC,'What is osmosis '
DESC,'What happened to Phillip Taylor Kramer '
DESC,'What are the words to the cd Eminem s '
HUM,'Who is the  Queen Mother  '
HUM,'Who is King in Alley Oop s home of Moo '
DESC,'How did water appear on the earth '
ENTY,'What kind of guitar did Jimi Hendrix play '
ENTY,'What are the 7 articles of the constitution '
ENTY,'What color was the hundred billionth crayon made by Crayola '
ENTY,'At Christmas time '
HUM,'What actress s autobiography is titled Shelley : Also Known as Shirley '
DESC,'What is the difference between college and graduate school '
LOC,'What is New England s highest mountain '
HUM,'Who portrayed portly criminologist Carl Hyatt on Checkmate '
LOC,'What Russian seaport has a name meaning  Lord of the East  '
NUM,'How many events make up the decathlon '
HUM,'Who served as inspiration for the schoolteacher portrayed by Robin Williams in  Dead Poets Society  '
NUM,'How many Jews were executed in concentration camps during WWII '
NUM,'How many calories are in a tomato '
LOC,'Where was Poe born '
DESC,'What causes tuberculosis '
NUM,'What is the Pennsylvania state income tax rate '
HUM,'Who created Dennis the Menace '
LOC,'What were the first three cities to have a population of more than a million '
LOC,'What city is sometimes called Gotham '
ENTY,'What are the most common elements in the Earth s crust '
DESC,'What does the word  opera  mean '
HUM,'Who lived on the shores of the Gitchee Gumee River '
ENTY,'What did the ancients call the four great elements '
LOC,'What US city is The Queen of the Pacific '
NUM,'How many teaspoons make up a tablespoon '
LOC,'Where is Procter & Gamble based in the US '
DESC,'What is a swatch '
ENTY,'Name the 5 words that use all of the letters in the alphabet '
LOC,'What country received all the Nobel Prizes awarded in 1976 '
LOC,'Where can I find the schematics to the windshield wiper mechanism '
ENTY,'What kind of creatures are black '
LOC,'Where can an individual get a contact lens tested that burned the entire surface of eye when new '
NUM,'How much did the Iran-Contra investigation cost '
DESC,'Why are eggs supposed to be stored small end down '
ENTY,'What is a fear of sourness '
LOC,'Where can I find up-to-date coastal ocean surface temperature information '
ENTY,'What do you get by adding Lactobacillus bulgaricus to milk '
HUM,'Whose singing voice was dubbed in for Natalie Wood in West Side Story and Audrey Hepburn in My Fair Lady '
DESC,'How did Bob Marley die '
HUM,'Who killed JFK '
ENTY,'What soap was touted as being  for people who like people  '
NUM,'How old is Britney Spears '
HUM,'What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history '
LOC,'Where is Windsor Castle '
HUM,'Who was the only president to serve two nonconsecutive terms '
HUM,'What singer s hit song inspired the Dolly Parton Stallone movie Rhinestone '
DESC,'What is Linux '
LOC,'Where do the Grimace and Mayor McCheese live '
DESC,'What s the difference between sleet and freezing rain '
NUM,'When was the Berlin Wall erected '
ENTY,'What animals can live the longest without food '
NUM,'What s the score of a forfeited baseball game '
HUM,'Who were the Yankee s frequent enemies '
ENTY,'What vehicles are raced in the Tour de France '
DESC,'What is the root of all evil '
DESC,'What was the reason for the partition of the Anglican and Vatican churches '
ABBR,'What do the letters ZIP stand for in the phrase  ZIP code  '
ENTY,'What did Tristan come back as '
HUM,'Who did the Seven Mules block for '
ENTY,'Which is a real berry : blackberry '
NUM,'How many corners does a spritsail have '
LOC,'Where is Natchitoches '
ENTY,'What kind of education do I need to become a flight attendant '
ENTY,'What are some important events of the 1830 s '
LOC,'What are all the rivers in Europe '
NUM,'When did beethoven die '
HUM,'What occupation has the highest divorce rate '
ENTY,'What s the second-most-used vowel in English '
HUM,'What golfer has been called Ohio Fats and Blobbo '
DESC,'What is a transistor '
LOC,'Name a country that is developing a magnetic levitation railway system '
NUM,'When was the first steel mill in the United States built '
ENTY,'Which mayonnaise refers to itself as  real  mayonnaise '
DESC,'How was Lawrence'
ENTY,'In which sport is there a  scrum  '
NUM,'When was Dubai s first concrete house built '
ENTY,'What is the softest part of the body '
HUM,'Who made a boat out of gopher wood '
NUM,'What year did the United States pass the Copyright law '
DESC,'Why is hockey so violent '
LOC,'In what area of the world was the Six Day War fought '
HUM,'What US President was the first to breed mules '
DESC,'How does blood clot '
HUM,'Who was the prophet of the Muslim people '
NUM,'How hot does the inside of an active volcano get '
DESC,'What is a urologist '
DESC,'What is a Jellicle Cat '
HUM,'Who is the prophet that is most connected to the Dead Sea '
HUM,'Who portrayed Carl Bernstein in All the President s Men '
LOC,'What New England state carries the telephone area code 27 '
LOC,'What landmark Italian restaurant can be found at 239 West 48th Street '
HUM,'Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover '
ENTY,'What is the Scotch  for people who know the difference  '
HUM,'Who was chairman of the Senate select committee that tried to get to the bottom of Watergate '
ENTY,'What animal has the best hearing '
LOC,'What prison is found in Ossining '
HUM,'What woman pitcher has struck out Ted Williams and Hank Aaron '
ENTY,'What is a fear of ruin '
HUM,'Who owns the St Louis Rams '
ENTY,'What film dramatized the Scopes monkey trial '
ENTY,'Name the two mystical ravens Odin has at his command '
NUM,'How many URL extensions are there  and what are they '
HUM,'What police force did Mack Sennett create '
LOC,'Where can I find lyrics for R&B '
DESC,'Why is Jane Goodall famous '
NUM,'How many objects orbit the Earth '
NUM,'How long does a dog sleep '
DESC,'What prompted the co-pilot of the Enola Gay to enter only  My God  in his log '
NUM,'How many people in the USA say their number one source of information is the newspaper '
HUM,'What suburban housewife and mother of three wrote The Feminine Mystique '
ENTY,'What deck of cards includes the Wheel of Fortune '
NUM,'How much waste does an average dairy cow produce in a day '
ENTY,'What powdered soft drink mix went into space '
NUM,'How tall is the giraffe '
ENTY,'What is the Islamic equivalent of the Red Cross '
NUM,'Hitler came to power in Germany in what year '
HUM,'Name the lawyer for Randy Craft '
NUM,'Approximately how many students are enrolled at the University of Massachusetts '
LOC,'Which way do you turn your Bic to increase the flame - clockwise or counterclockwise '
HUM,'What onetime member of Ronald Reagan s cabinet called federal policy toward Indians  an example of the failure of socialism  '
ENTY,'What sports magazine has the largest circulation '
ENTY,'What Leon Uris novel dealt with the Russian capture of Berlin '
NUM,'What is the date of Bastille Day '
NUM,'Approximately how much does a teaspoon of matter weigh in a black hole '
HUM,'Who was the first governor of West Virginia '
DESC,'What are the lyrics to  Smelly Cat  '
HUM,'Who did Arthur H Bremer try to assassinate on May 15 '
DESC,'What is the origin of the rock band Led Zeppelin s name '
LOC,'What is the name of the gulf between Sweden and Finland '
NUM,'What is the mean income of the top 10\% '
HUM,'Who was Jinnah '
ENTY,'What new year is celebrated on February 16th '
ENTY,'What s a  Drinker respirator  better known as '
ENTY,'What does God create in the first sentence of the Bible '
DESC,'What do insects do through their spiracles '
HUM,'What comedian was born Allen Stewart Konigsberg '
HUM,'Who discovered imaginary numbers '
ENTY,'In which Kevin Costner movie did Sioux Indians play a role '
NUM,'How many cullions does a male have '
DESC,'What is the origin of head lice '
LOC,'What country has the most time zones '
