@relation 'train_Egokituta-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToString-C1-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.unsupervised.instance.RemovePercentage-P50.0-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute etiqueta {DESC,ENTY,ABBR,HUM,NUM,LOC}
@attribute text string

@data
LOC,'What capital is built around Monument Circle which contains soldiers and sailors monument '
DESC,'What is the origin of the word  pallbearer  '
DESC,'How do I find info about rice importers in the world '
DESC,'What s the difference and advantages of selecting a Super VHS VCR over plain VHS model '
ENTY,'What was organized as a Confederate veterans  social club in Pulaski '
LOC,'What country boasts Cawdor Castle '
NUM,'How many sonnets did Shakespeare write '
ENTY,'Name a movie about the Sioux Indians starring Kevin Costner .'
NUM,'How many people in Tucson '
HUM,'What was Eduard Shevardnadze s job in the Soviet Union '
DESC,'How did people respond to the idea of the first millenium '
HUM,'What did the Seven Dwarfs do for a living '
DESC,'What is the  Global Economy  '
HUM,'What two historical figures '
LOC,'What is the web address of the list of e-mail addresses of members of the House of Representatives '
ENTY,'What is the longest English word that can be formed using just the first row of letters on a typewriter '
DESC,'What is Franz Kafka s short story  A Country Doctor  trying to tell us '
HUM,'Who are cartoondom s Super Six '
ENTY,'What does Warner Bros. call a flightless cuckoo '
HUM,'Which of the following rock n roll stars has a  star  on Hollywood Boulevard '
HUM,'Who was Hitler s minister of propaganda '
LOC,'What Japanese city was once called Edo '
HUM,'What is Larry King s job '
LOC,'What California bridge was Don Brown the first to cross '
HUM,'Who wrote :  Poems are made by fools like me but only God can make a tree  '
HUM,'What hard-of hearing artist painted Sunflowers '
DESC,'What is thalassemia '
LOC,'In What city or state do the most gay men live in '
LOC,'What are the two cities in Dicken s  A Tale of Two Cities  '
LOC,'What two Caribbean countries share the island of Hispaniola '
DESC,'Why is Indiglo called Indiglo '
DESC,'What is a Canada two-penny black '
HUM,'What basketball player is credited with 23 '
DESC,'What are the rules to  snow golf  '
HUM,'Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen '
NUM,'How long do hermit crabs live '
HUM,'Who is the sexiest women in the world '
DESC,'What did Lenny Bruce say that got him arrested '
LOC,'What country is the setting for Edgar Allan Poe s The Pit and the Pendulum '
LOC,'What is the name of the tallest mountain in the world '
NUM,'When did World War I start '
HUM,'Who played Lucas McCain on The Rifleman '
NUM,'How many propellers helped power the plane the Wright brothers flew into history '
ENTY,'What hide-and-seek game is played around a tin can '
DESC,'What makes hamburgers taste like steakburgers '
ENTY,'What were hairy bank notes in the fur trade '
DESC,'How do I legally make my own will and testament '
HUM,'What character narrates Treasure Island '
NUM,'How many people visit the Pope each month '
HUM,'What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex '
DESC,'What is the theory of equivalence states '
DESC,'What is dew point '
HUM,'What store claims to be the world s largest department store '
DESC,'How did Jayne Mansfield die '
LOC,'What sea surrounds the Cayman Islands '
LOC,'Where did George of the Jungle live '
DESC,'What are the words to the Canadian National anthem '
LOC,'What countries have the largest armed forces in the world '
LOC,'What is the most useful site on the Internet '
LOC,'Where is the Henry Ford Museum '
NUM,'What are the unemployment statistics for the years 1965 and 1990 '
HUM,'What U.S. vice-president said :  Some newspapers dispose of their garbage by printing it  '
HUM,'Who did Jackie Kennedy commission to write The Death of a President '
LOC,'What country s capital was formed when Pesth and Buda merged '
ENTY,'What is the word for love of pain or abuse '
LOC,'What country did King Wenceslas rule '
NUM,'How many languages does the Pope speak '
ENTY,'What 12-hour cold medicine uses the formula  6 '
NUM,'How many bones are there in the human hand '
DESC,'How can I stop or slow down aging '
NUM,'How many years ago did Led Zeppelin release its last album '
ENTY,'What African animals are known as The Big Five '
NUM,'How long did Shea and Gould practice law in Los Angeles '
NUM,'When did the use of  the syringe  first appear in medicinal history '
DESC,'Why are lions called  King of the Jungle  '
ENTY,'What did Benny Carter play '
HUM,'Who portrayed  the man without a face  in the movie of the same name '
NUM,'How much caffeine is in a 16 oz cup of coffee '
ABBR,'What does CPR stand for '
HUM,'What is the Viking Prince s first name '
HUM,'Whose old London come-on was :  Buy my sweet lavender  '
DESC,'What is  dew point  '
ENTY,'What board game does a  wood-pusher  play poorly '
DESC,'In the song  Yankee Doodle '
NUM,'How many fingers are used to draw a bow '
LOC,'Where is Qatar '
DESC,'How do you throw a housewarming party '
LOC,'Where can I find a case on Individuals with Disabilities Education Act of 1991 '
DESC,'What is the definition of the term  weapons system  '
LOC,'What do most tourists visit in Reims '
DESC,'Why did the Anglican church split from the Vatican '
ENTY,'What was the tragedy that struck the city of Dogtown in 1899 '
DESC,'What are the alveoli '
LOC,'What is the largest and most expensive freeway construction project in the U.S. right now '
ENTY,'What instrument does Benny Carter play '
DESC,'Why does a candle go out when we blow on it '
HUM,'Who was the last U.S. president to reinstate Selective Service registration '
ENTY,'What are the names of all the U.S. Navy aircraft carriers '
LOC,'What nationality is a Sicilian '
ENTY,'What song served as the closing theme of The Johnny Cash Show '
ENTY,'What 1965 film had Jack Lemmon portraying a cartoonist '
HUM,'Whose biography by Maurice Zolotow is titled Shooting Star '
LOC,'What is the smallest country in Africa '
LOC,'What is the most populated city in the world '
ENTY,'What significant battle was fought in Belgium in 1815 '
HUM,'What is Alice Cooper s real name '
HUM,'Who received the Will Rogers Award in 1989 '
ENTY,'Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor '
LOC,'Where in the Americas is it only 47 miles from the Atlantic to the Pacific '
DESC,'What does laser stand for '
LOC,'What are the world s three largest oceans '
NUM,'What geological time do we live in '
HUM,'What was the first U.S.-based team in the NHL '
HUM,'Who used AuH2O as an election slogan '
NUM,'How many colleges are in Wyoming '
HUM,'Who liberated 19th century Sicily and Naples '
ABBR,'What is the abbreviation for micro '
HUM,'Name Pittsburgh s baseball team .'
NUM,'In South Korea '
NUM,'How many colors are there in a rainbow '
NUM,'What is the average cost for four years of medical school '
ENTY,'In what medium is Stuart Hamblen considered to be the first singing cowboy '
DESC,'Why shouldn t you remove a bee stinger with tweezers '
DESC,'What are boxcars '
NUM,'How much money can a person be fined for having a dog on a beach '
DESC,'What is the feudal system '
HUM,'Who was Darth Vader s son '
ENTY,'What meter did Shakespeare use in writing :  To be '
DESC,'What are the medical purposes of  clitoridectomy  '
DESC,'What do the names Andrew and Christina mean '
NUM,'How many spears are there on Kenya s flag '
HUM,'Who is Malaysia s 43rd prime minister '
DESC,'What do you say to a friend who ignores you for other friends '
LOC,'What islands got their name from the Spanish baja mar '
HUM,'Who markets Spaghetti-o s '
LOC,'Where did Ty Cobb grow up '
LOC,'What bay sparkles next to Miami '
DESC,'Why was Washington '
NUM,'How fast is light '
DESC,'What is pandoro '
HUM,'Who was the Columbia Pictures head who forged actor Cliff Robertson s name on a $1 '
HUM,'Who sells Viagra '
LOC,'What was the tallest building in America in 1922 '
ENTY,'What is April s gemstone '
ABBR,'What is Mikhail Gorbachev s middle initial '
NUM,'How many consecutive baseball games did Lou Gehrig play '
NUM,'How many wings does a flea have '
HUM,'What famous comedian recently tried without success to revive the play '
NUM,'How many Beatles  records went #1 '
NUM,'What percentage of American men are alcoholic '
NUM,'How long was the TV mission of Star Trek s Enterprise to be '
DESC,'What is the orgin of xoxoxox '
DESC,'What is typhoid fever '
LOC,'What is Drew Barrymore s email address '
HUM,'What was Queen Victoria s title regarding India '
ENTY,'What was the first Sam Spade novel '
LOC,'Where is Guam '
HUM,'Who created the Fantastic Four '
ENTY,'What historical event happened in Dogtown in 1899 '
NUM,'What year did the first issue of  Playboy  come out '
NUM,'How many grooves are on a dime s edge '
LOC,'What is the oldest ethnological museum in the world '
HUM,'What English queen had seventeen children '
HUM,'What was Michelangelo s last name '
ABBR,'What does the abbreviation cwt. '
DESC,'What is a caul '
ENTY,'What sport was the first televised in the U.S. '
LOC,'Where did the Inuits live '
LOC,'Where is Melbourne '
HUM,'Who wrote  Much Ado About Nothing  '
NUM,'How many films are made by the major studios in a year '
LOC,'When Superman needs to get away from it all '
DESC,'How does a chick breathe inside an egg '
ENTY,'What s the most popular contact lens color '
DESC,'What did John Hinckley do to impress Jodie Foster '
ENTY,'What document did President Andrew Johnson want a copy of placed under his head upon his burial '
NUM,'What are the odds of giving birth to twins '
ENTY,'What s the hardest substance in the human body '
DESC,'How do cameras take pictures '
NUM,'How many times was pitcher '
DESC,'What is the origin of the surname of Braun '
DESC,'What caused the division between the Anglicans and the Vatican '
ENTY,'What kind of species is the monster in the film  Jaws  '
LOC,'What continent pushes up the Executive Committee mountain range '
HUM,'Who is the prime minister in Norway '
NUM,'How many people watch network television '
DESC,'What is real time processing '
DESC,'What is Remembrance Day all about '
DESC,'What is Eagle s syndrome styloid process '
LOC,'What is the most important nation in the world '
HUM,'Which of the following people is not associated with Andy Warhol '
ENTY,'What flag flies over Wake Island '
LOC,'Where is the Rose Bowl played '
ENTY,'On which flight did Fawaz Younis commit air piracy and hostage taking '
HUM,'What is Nicholas Cage s profession '
ENTY,'What are fingernails made of '
NUM,'How big is Australia '
ENTY,'What was the name of Hitler s unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 '
NUM,'How many months does a normal human pregnancy last '
HUM,'Who was the Secretary of War in the Civil War during the Battle of Gettysburg '
DESC,'What is the origin of the term  buffalo wings  that is used as a menu item in bars across the nation for chicken wings in a spicey sauce '
NUM,'What day was Pearl Harbor attacked in 1942 '
LOC,'What U.S. state does the Continental Divide leave to enter Canada '
DESC,'How can you become an FBI agent '
ENTY,'What toy can you make sleep '
DESC,'Why did David Koresh ask the FBI for a word processor '
LOC,'In what city is the famed St. Mark s Square '
DESC,'What is the origin of the typing practice sentence  Now is the time for all good men to come to the aid of their country  '
DESC,'What is the origin of the ethnic category  caucasian  '
HUM,'Who said  Give me liberty or give me death  '
HUM,'What cheery fellow got the ZIP code 9971 from the U.S. Postal Service in 1963 '
ENTY,'What war did Florence Nightingale tend the troops in '
ENTY,'What is the alphabet for Latin '
ENTY,'What are close encounters of the first and second kind '
HUM,'Who was shot in the back during a Poker game in Deadwood '
NUM,'How many American soldiers have died for their country to date '
ENTY,'What s an easy way to count the approximate number of fish in a lake '
HUM,'Who holds the NFL record for most touchdowns in a season '
ENTY,'What was the name of Robert Fulton s most famous steamboat '
HUM,'Who was the star of Leave It to Beaver '
NUM,'What is the average hourly rate of American workers '
NUM,'When was Nostradamus born '
DESC,'What was Al Capone finally imprisoned for '
HUM,'What is the most popular last name '
ENTY,'What type of bridge is the Golden Gate Bridge '
ENTY,'What s the best way to lose the flab under your chin and around your face '
DESC,'How does psorisis disappear '
ENTY,'Where does your hair grow the fastest '
LOC,'Where is Sinn Fein s headquarters '
ENTY,'What s the term for an organism that lives on or in another '
LOC,'What sun-blasted '
DESC,'Where does the expression  cloud nine  come from '
ENTY,'What organ contains the islands of Langerhans '
HUM,'Who wrote the book '
DESC,'What is a portal '
LOC,'What city s airport is named Logan International '
DESC,'Why should cigarette smoking be banned '
DESC,'What s a water funnel '
HUM,'Who is Stein Eriksen '
HUM,'What company s logo is a  W  in a circle '
HUM,'Name the company that used the line '
DESC,'What is a rhomboideus minor '
ENTY,'What are the snakes of New England '
DESC,'How do I get another city s newspaper '
NUM,'What is the chemical reactivity of neon '
HUM,'What business exports the sparkling wine Spumante '
HUM,'Who was the first man to return to space '
NUM,'What is the speed of the Mississippi River '
DESC,'What are some children s rights '
HUM,'Who was the mother of the man who would not be king '
DESC,'What does the name Melissa mean '
ABBR,'What does pH stand for '
DESC,'How do windmills work '
ENTY,'What is the best way to travel in Japan '
HUM,'What s the name of Pittsburgh s baseball team '
HUM,'Who directed the first Woody Woodpecker cartoon '
LOC,'Where is South Bend '
DESC,'What was the filling in the first golf balls '
DESC,'What is Bombay duck '
NUM,'How tall is the replica of the Matterhorn at Disneyland '
ENTY,'What Sinatra hit did he dooby dooby do in '
DESC,'Why do pressure cookers save time in the kitchen '
NUM,'When is a woman most fertile '
DESC,'How did the tradition of best man start '
HUM,'Who was the accused in The Trial of the Century '
ENTY,'What are the top vegetable crops in the world '
DESC,'How does a submarine operate '
LOC,'What is the tallest mountain '
ENTY,'What was the top box office movie in April 1998 '
LOC,'Which two states enclose Chesapeake Bay '
ABBR,'What is the acronym for the rating system for air conditioner efficiency '
NUM,'How many American actors were nominated for the best actor Oscar for 1983 '
NUM,'What year did Degas create the bronze sculpture '
HUM,'What engineer invented the pull-tab can '
NUM,'When was the first Wall Street Journal published '
ENTY,'What color are a cherry tree s flowers '
DESC,'What function does a community s water tower serve '
HUM,'What Pope inaugurated Vatican International Radio '
HUM,'Who graced the airwaves with such pearls as  Do ya lo-o-ove me  Get naked '
LOC,'What web sites are linked to the Report on Genesis Eldercare '
ENTY,'What is a technique popularly used to detect birth defects '
ENTY,'What is a research expedition in mountain climbing '
HUM,'Whose kidnaping was termed The Crime of the Century '
LOC,'What city is often called The Insurance Capital of the World '
ENTY,'What James Michener book is subtitled Spanish Travels and Reflections '
ENTY,'What trophy is awarded to the winners of the Super Bowl '
HUM,'Who invented the lawnmower '
HUM,'Who taught Matt Murdock to use his extraordinary abilities in Marvel comics '
LOC,'Where was George Washington born '
HUM,'Who was Thucydides '
NUM,'How many pairs of wings does a tsetse fly have '
NUM,'What is the highest number of home runs on record for any one game '
NUM,'How long did the Paris Commune hold out for against the rest of France '
NUM,'What was Thatcher s approval rating after 10 years in power '
DESC,'What are you hearing when you put a seashell to your ear '
DESC,'What do Japanese school uniforms look like '
ENTY,'What is another word for diet '
ENTY,'How do you say 2 in Latin '
DESC,'Why are sometimes your hands cold '
LOC,'What country has the port of Haifa '
ENTY,'What Muhammad Ali maneuver was George Foreman the first victim of '
ENTY,'What flower did Vincent Van Gogh paint '
ENTY,'What bird can swim but can t fly '
LOC,'What s the nearest star to Earth '
ENTY,'What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball '
LOC,'What is the largest county in size in Massachusetts '
HUM,'Who s The King of Swing '
DESC,'How do I find out about jobs '
NUM,'How many Gutenberg Bibles are there '
HUM,'Who led the opposition when Konrad Adenauer was Chancellor in Germany '
LOC,'What city was Bobby Kennedy assassinated in '
DESC,'Why do oceans contain salt water instead of fresh water '
LOC,'What are some good fractal web sites '
ENTY,'What disease is the second-biggest killer of North Americans '
HUM,'Which of the following famous people does not paint as a hobby '
ENTY,'What color is Mr. Spock s blood '
DESC,'What facial feature typically contains about 55 hairs '
HUM,'What famous husband-and-wife team did radio ads for Blue Nun wine '
NUM,'How many sides does a heptagon have '
NUM,'What amount of folic acid should an expectant mother take daily '
LOC,'What are some mythology websites '
ENTY,'What is the best-selling book of all time '
LOC,'What mountain range extends from the Gulf of St. Lawrence to Alabama '
NUM,'How many zip codes are there in the U.S. '
ENTY,'What war saw battles at Parrot s Beak and Black Virgin '
ENTY,'What s the second-biggest-selling magazine in America '
HUM,'Who is the composer of  Canon in D Major  '
LOC,'Where can I find info on Alexander Mackenzie '
DESC,'What is the history of yo-yos '
LOC,'What is the Homelite Inc. home page '
DESC,'How do you determine heating requirements for your home '
DESC,'How is carbon dioxide removed from natural gas '
LOC,'Where on the Internet can I find a song lyrics database similar to the International Lyrics Server '
HUM,'What Spanish artist painted Crucifixion '
ENTY,'Which Beatles disc cover honors the Rolling Stones '
NUM,'How long does it take the Milky Way Galaxy to make one revolution '
DESC,'Why does the sun shine only a short time in Alaska '
LOC,'What city is . KDGE Radio located in '
NUM,'Where does the U.S. rank among world countries in area '
LOC,'What country is located at 13 degrees North latitude and 10 degrees East longitude '
ENTY,'In order from the top '
NUM,'How many words are there in the Spanish language '
LOC,'Where are the headquarters of Eli Lilly '
DESC,'What is object-oriented design '
HUM,'What is the name of the deranged super-criminal Otto Octavius uses '
ABBR,'What is HDLC '
ENTY,'What s an infant seal called '
DESC,'What is a heuristic '
HUM,'Who founded the Unification Church '
NUM,'How much money was the minimum wage in 1991 '
ABBR,'What does EKG stand for '
DESC,'Why did Egyptians shave their eyebrows '
HUM,'Who was Darius '
LOC,'What colorful sea s region does Greek legend say the Amazons lived near '
ENTY,'What TV quiz show left the air in 1975 to the tune of Vera Lynn s We ll Meet Again '
ENTY,'What class is categorized as the bourgeoisie '
HUM,'What South Vietnamese president was assassinated by his generals in 1963 '
ENTY,'What kind of weapons were used in Medieval warfare '
ENTY,'What s a Craps player called '
ENTY,'In Beetle Bailey '
HUM,'Name Randy Craft s lawyer .'
NUM,'How much did Varian Associates try to sell its vacuum products division to the BOC group for '
ENTY,'What s the most popular form of bridge '
NUM,'What is the average life expectancy of a male in Ireland in 1996 '
DESC,'What is a handheld PC '
LOC,'What country has the highest arson rate '
DESC,'What are the powers and weaknesses of Green Lantern s ring '
DESC,'How do I write to my Congressman '
LOC,'What state was named the Green Mountain state '
DESC,'How does the speed the magnet spins in a generator affect the output of the generator '
ENTY,'What did Woody Allen call the Japanese gangster film he dubbed into English as a comedy '
HUM,'Who was the author of the book about computer hackers called  The Cuckoo s Egg : Tracking a Spy Through the Maze of Computer Espionage  '
LOC,'Where can I find the best free evidence for debate about Russia '
HUM,'What organization was founded by the Rev. Jerry Falwell '
ENTY,'What does it take to become a lawyer '
LOC,'Which one of the Great Lakes is entirely within U.S. territory '
LOC,'Where can I find a list of all the companies in America that offer a direct stock purchase plan '
ENTY,'What does it take to be a hero '
NUM,'In what year was actress Joan Collins born '
HUM,'What 19th-century painter died in the Marquesas Islands '
HUM,'What was the name of the 187s Irish terrorist group in Pennsylvania mining areas '
ENTY,'What are the three animals in Sheila Burnford s The Incredible Journey '
DESC,'Where did the name root beer come from '
NUM,'When are sheep shorn '
HUM,'Who were the 1974 Oscar winners '
HUM,'Who killed more people '
ENTY,'What keeps clouds in the air '
HUM,'Who is the fastest guitarist '
DESC,'Why is poop sometimes different colors '
DESC,'What was archy '
DESC,'What happened to Answers.com '
HUM,'Who is currently the most popular singer in the world '
DESC,'What does Venus Retrograde mean '
LOC,'What city contains the district of Hell s Kitchen '
ENTY,'What determines the value of the pearl '
HUM,'What baseball team was routinely called  dem bums  by its frustrated fans '
DESC,'What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea '
NUM,'What was the U.S. highway death toll in 1969 '
LOC,'What country did the Nazis occupy for 1 '
LOC,'What city was President William McKinley shot in '
DESC,'What is the purpose of BIOS '
NUM,'How many school districts are there in the United States '
ENTY,'Name the French historical period during the reign of Napoleon III .'
HUM,'What famous soldier was born in Europe '
DESC,'How did the war of 1812 affect Delaware '
DESC,'Why did the Aztecs first think the Spanish were Gods '
ENTY,'What sport do you shag flies in '
HUM,'Who was the first black golfer to tee off in the Masters '
ENTY,'What famed gangland slaughter cut into the membership of Bugs Moran s outfit '
ENTY,'What is a fear of insanity '
ENTY,'What book does Holden Caulfield appear in '
NUM,'How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team '
ENTY,'What did the forward-thinking Simon Brothers Bakery of Chicago insert into bagels to boost business '
HUM,'Who is Westview High s band director in Funky Winkerbean '
HUM,'What explorers followed Columbus to the Americas '
HUM,'Who would you use the Heimlich maneuver on '
HUM,'Whose acceptance speech of more than 3 minutes prompted a time limit on Academy Award thank-yous '
LOC,'What former royal palace has served as a granary '
ENTY,'What was the sister ship of the Olympic '
HUM,'Who created  The Muppets  '
LOC,'What two Japanese cities are spelled with the letters K '
DESC,'What was the effect of the Yalta Conference '
ENTY,'What video format was an alternative to VHS '
NUM,'How many gallons of water go over Niagra Falls every second '
DESC,'How effective are condoms in protecting against AIDS '
NUM,'How many children does Ray Davies of the Kinks have '
LOC,'What country has problems with hooligans '
LOC,'What U.S. state is Dixville Notch in '
ENTY,'What was Connecticut s first constitution called '
ENTY,'What is a fear of lice '
HUM,'What woman has carried the most multiple births '
DESC,'What is hydrogen '
HUM,'What mystery writer penned  ...the glory that was Greece '
NUM,'How many colors was the 1940s collectible called a Donald Duck Rubber Boat '
HUM,'Who was the founding member of the Pink Floyd band '
HUM,'What  marvelous  major-league baseball player is now a spokesman for a beer company '
DESC,'How can I find out which cities have cable-modem access '
HUM,'Who fired Maria Ybarra from her position in San Diego council '
LOC,'What mountains lie between the Arkansas and Missouri rivers '
ENTY,'What can one see in Reims '
DESC,'What makes Black Hills '
HUM,'What is her profession '
LOC,'What is the habitat of the chickadee '
DESC,'What is measured in curies '
ENTY,'What J.R.R. Tolkien book features Bilbo Baggins as the central character '
HUM,'Name the On Stage character whose face was never seen .'
HUM,'What Chilean president was killed in a 1973 coup d etat '
NUM,'In what year was the Wall built '
NUM,'How long does it take the moon to revolve around the Earth '
NUM,'What is the size of the student body at the University of Massachusetts in Amherst '
ENTY,'What book opens :  At a certain village in La Mancha '
NUM,'How long should you feed your puppy Purina Puppy Chow '
HUM,'What TV comediennes s characters include former movie star Nora Desmond '
NUM,'What is Columbia Tristar s phone number '
DESC,'What is federal income tax '
HUM,'Who did Doris Day mean when she said :  I call him Ernie because he s certainly no Rock  '
DESC,'What do players try to do when the music stops in a game of musical chairs '
DESC,'What does Elysium mean '
DESC,'What revelation did Alexander Butterfield make to the Senate Watergate committee '
NUM,'When did Mount St. Helen last have a significant eruption '
HUM,'What card company sells Christmas ornaments '
DESC,'Why was the zipper invented '
NUM,'When were fish first believed to be found on earth '
HUM,'Who comprised the now-defunct comic book team known as the Champions '
HUM,'Who is the Prophet of Medina '
DESC,'How do you clean up a cache '
ENTY,'What predators exist on Antarctica '
ENTY,'What is the fear of being loved '
HUM,'Which king signed the Magna Carta '
DESC,'What does appropriates money mean '
HUM,'Who was Monet '
ENTY,'What is Beethoven s 9th symphony called '
ENTY,'What is state tree of Nebraska '
HUM,'What bread company used to feature stickers of the Cisco Kid on the ends of their packages '
NUM,'What are the three winter months in the southern hemisphere '
ENTY,'What is a fear of women '
DESC,'What is a hydrogen bond '
DESC,'What did John F. Kennedy consider his greatest blunder in office '
DESC,'What is the origin of the expression  four-letter word  '
LOC,'What botanical marvel did Nebuchadnezzar build '
HUM,'What female painter produced primitives of rural New England life '
ENTY,'What is the name of a Salt Lake City newspaper '
ENTY,'What s the most common non-contagious disease in the world '
HUM,'Who held the endurance record for women pilots in 1929 '
ENTY,'What 1950 film won seven Oscars '
DESC,'What is  Nine Inch Nails  '
NUM,'How big is a quart '
NUM,'How long does it take light to reach the Earth from the Sun '
DESC,'What does the term 3 mean to a newspaper editor '
NUM,'When did Hitler come to power in Germany '
LOC,'What ocean surrounds the Maldive Islands '
NUM,'How much salt is in the oceans '
LOC,'Where can one find Mozambique '
DESC,'What will a compass do in outer space '
LOC,'What lake in Scotland is said to hold one or more monsters '
DESC,'What is the origin of the first name  Breony  '
LOC,'Where did Victor Hugo spend his exile '
ENTY,'Name a novel written by John Steinbeck .'
DESC,'What is the definition of hazmat '
DESC,'Why is the moon different sizes and colors '
HUM,'Who portrayed Prewett in From Here to Eternity '
LOC,'Where is the world s most active volcano located '
LOC,'What country s people are the top television watchers '
HUM,'What was the name of the Confederate mounted guerrilla group with which Jesse James and Coleman Younger had ridden '
HUM,'Who was in Death of a Salesman original movie '
ENTY,'What is chronic constipation a symptom of '
ENTY,'What was Simple Simon fishing for in his mother s pail '
HUM,'When the Tutankhamun exhibit was on display in the U.S. '
DESC,'What is the  7-minute cigarette  '
HUM,'Who made the first gas engine '
ENTY,'What color is Chablis '
ABBR,'What does R.E.M. stand for '
HUM,'What king was forced to agree to the Magna Carta '
LOC,'Where is Santa Lucia '
DESC,'What are the Greek numerals '
NUM,'At what age did Rossini stop writing opera '
ENTY,'What is a word whose letters can be rearranged to form a different word '
HUM,'Who betrayed Norway to the Nazis '
ENTY,'Which comic strip was never turned into a Broadway musical '
ENTY,'In what sport are these following numbers relevant : 118 '
NUM,'What month of the year is there no television in Iceland '
ENTY,'How do you say  fresh  in Spanish '
ABBR,'In a computer '
DESC,'What is the origin of thank you notes '
NUM,'In what year did China and the Republic of Korea establish diplomatic relations '
HUM,'President Bush compared Saddam Hussein to whom '
HUM,'Who is Archie Bunker s son-in-law '
ENTY,'What was the favorite sport of Tom Wolfe s The Pump House Gang '
